Transaction_ID,Employee_ID,Transaction_Amount,Discount,Approval_Level,Bank_Account_Change,Order_Receiver,Customer_ID,Order_Status,Transaction_Date,Order_Status_Date,Is_Fraudulent
1,16,3446.30474361492,24.866415210422772,Senior Manager,False,7,69,Hold,2023-01-02,2023-12-03,False
2,5,5687.65330274887,2.0531898133492588,Senior Manager,True,2,68,Hold,2022-04-05,2023-12-24,False
3,9,4206.1907755614675,10.09985885784342,Manager,False,22,71,Cancelled,2023-12-09,2023-12-28,False
4,13,4232.7256286885995,22.80108642283625,Senior Manager,False,16,29,Ordered,2023-11-13,2023-11-20,False
5,10,9593.030810822127,21.973104742593716,Employee,False,21,88,Shipped,2023-10-06,2023-12-08,False
6,11,1090.7150375334836,20.70493246505172,Senior Manager,True,15,102,Shipped,2023-05-11,2023-10-05,False
7,23,7393.8499965446135,9.59940132042216,Employee,False,4,112,In Progress,2022-02-06,2023-03-17,False
8,22,7078.752602219695,18.10413067297051,Senior Manager,False,22,94,Hold,2023-01-13,2023-03-07,False
9,13,1159.3415667349484,18.023181723771387,Senior Manager,True,17,31,Hold,2022-07-23,2022-09-08,False
10,17,7377.087555207426,20.97398794703086,Senior Manager,False,4,28,Invoiced,2022-08-11,2022-12-11,False
11,22,4665.634163794427,9.381073788228996,Employee,False,8,76,In Progress,2022-04-02,2022-07-29,False
12,9,8254.423506260264,19.778730979246557,Senior Manager,True,2,54,Ordered,2022-12-21,2023-12-02,False
13,1,9653.69200637721,25.345051851917425,Senior Manager,False,9,45,Cancelled,2022-03-04,2023-04-03,False
14,19,5039.5553252201125,7.453625219834513,Employee,False,18,86,Ordered,2023-02-09,2023-12-16,False
15,15,2365.7648566070143,10.200431550151412,Manager,True,11,111,Hold,2023-12-11,2023-12-12,False
16,12,8201.427280897195,12.302988398735682,Employee,True,18,106,Ordered,2022-08-29,2023-03-18,False
17,21,6031.155158270927,1.6776176900435258,Manager,False,21,1,Cancelled,2023-04-04,2023-06-02,False
18,9,283.02753696726796,0.49291384165043417,Employee,False,10,52,Cancelled,2022-04-23,2023-08-17,False
19,10,2693.831591933585,27.676075870784857,Manager,True,9,94,In Progress,2022-04-24,2022-05-10,False
20,11,7878.19354459507,12.40374923971605,Employee,True,4,13,Invoiced,2023-01-07,2023-01-24,False
21,13,9513.81616719799,10.36671596124224,Manager,False,16,50,Shipped,2023-08-15,2023-12-22,False
22,18,1580.1626621580115,23.531572355320346,Senior Manager,False,4,23,Shipped,2022-10-11,2023-01-17,False
23,13,6212.230940872196,18.216608694827826,Employee,False,10,101,Hold,2022-09-08,2023-12-04,False
24,19,5054.664236562601,20.843350535841342,Senior Manager,False,23,25,Cancelled,2023-02-12,2023-07-15,False
25,21,2975.947408650078,5.835644499761886,Senior Manager,True,14,71,Invoiced,2022-06-29,2023-06-22,False
26,20,1246.2050363057174,4.751249732910081,Manager,True,10,5,Shipped,2022-12-31,2023-08-28,False
27,20,2321.4639115734385,6.212786139347088,Employee,False,19,117,Shipped,2022-07-01,2022-10-05,False
28,24,1337.533159386139,4.843353203899984,Manager,True,4,94,Cancelled,2022-08-19,2022-10-29,False
29,9,1479.1405870083847,16.107013219065493,Manager,True,24,99,Hold,2022-08-05,2023-04-22,False
30,11,4945.44639025658,8.129315466209956,Employee,False,21,87,Cancelled,2022-10-06,2023-02-28,False
31,9,6340.680086736808,27.35264241448286,Senior Manager,True,10,112,In Progress,2022-06-05,2022-06-14,False
32,19,7107.2167243134445,22.467756721265967,Employee,True,13,51,Cancelled,2023-02-10,2023-05-04,False
33,17,9726.099135393239,22.550513306446724,Senior Manager,False,22,68,In Progress,2023-12-17,2023-12-27,False
34,14,2367.1485699869427,0.49292014318127797,Employee,False,2,58,Ordered,2023-11-16,2023-12-31,False
35,21,2038.4202010053707,16.89211755519975,Manager,True,19,20,In Progress,2022-03-20,2023-04-21,False
36,13,2803.3647913400173,3.5693298728619958,Senior Manager,False,19,113,Cancelled,2023-10-22,2023-12-02,False
37,22,1079.4763140228924,7.319194789825609,Employee,True,8,56,Hold,2023-08-19,2023-10-18,False
38,9,7806.188284559055,8.87763144820141,Senior Manager,True,10,43,Invoiced,2023-09-20,2023-11-13,False
39,3,6029.903217412518,11.07592598780048,Senior Manager,False,8,57,In Progress,2022-12-03,2023-02-18,False
40,10,8948.252030436473,11.390645016454492,Employee,True,2,97,Ordered,2023-10-07,2023-10-07,False
41,19,688.8438905932096,12.054545903849027,Senior Manager,True,4,76,Ordered,2023-08-22,2023-10-07,False
42,12,585.3754109815845,13.126384807692608,Senior Manager,False,8,113,Hold,2022-12-23,2023-09-14,False
43,16,9951.660588311217,19.95427476354248,Senior Manager,False,1,95,In Progress,2022-10-24,2023-05-07,False
44,10,4191.087204297557,4.520396652027512,Manager,False,17,55,Hold,2022-10-19,2023-03-30,False
45,22,2545.9867000333124,22.309794542583884,Manager,True,18,54,Ordered,2023-08-15,2023-08-15,False
46,4,5498.891491029175,8.657208607635678,Employee,True,2,4,In Progress,2023-02-28,2023-06-09,False
47,6,6673.95553372517,4.807576993524762,Employee,True,2,65,Hold,2022-03-03,2022-09-19,False
